epoch;value;data;align
1;0.98;training accuracy;accuracy
2;0.98;training accuracy;accuracy
3;0.98;training accuracy;accuracy
4;0.98;training accuracy;accuracy
5;0.98;training accuracy;accuracy
6;0.98;training accuracy;accuracy
7;0.98;training accuracy;accuracy
8;0.98;training accuracy;accuracy
9;0.98;training accuracy;accuracy
10;0.98;training accuracy;accuracy
11;0.98;training accuracy;accuracy
12;0.99;training accuracy;accuracy
13;0.98;training accuracy;accuracy
14;0.99;training accuracy;accuracy
15;0.98;training accuracy;accuracy
16;0.98;training accuracy;accuracy
17;0.98;training accuracy;accuracy
18;0.99;training accuracy;accuracy
19;0.99;training accuracy;accuracy
20;0.98;training accuracy;accuracy
21;0.98;training accuracy;accuracy
22;0.99;training accuracy;accuracy
23;0.98;training accuracy;accuracy
24;0.99;training accuracy;accuracy
25;0.99;training accuracy;accuracy
26;0.98;training accuracy;accuracy
27;0.99;training accuracy;accuracy
28;0.99;training accuracy;accuracy
29;0.99;training accuracy;accuracy
30;0.99;training accuracy;accuracy
1;0.08;training loss;loss
2;0.05;training loss;loss
3;0.06;training loss;loss
4;0.05;training loss;loss
5;0.05;training loss;loss
6;0.05;training loss;loss
7;0.05;training loss;loss
8;0.04;training loss;loss
9;0.05;training loss;loss
10;0.05;training loss;loss
11;0.04;training loss;loss
12;0.04;training loss;loss
13;0.04;training loss;loss
14;0.04;training loss;loss
15;0.04;training loss;loss
16;0.04;training loss;loss
17;0.04;training loss;loss
18;0.04;training loss;loss
19;0.04;training loss;loss
20;0.04;training loss;loss
21;0.04;training loss;loss
22;0.04;training loss;loss
23;0.04;training loss;loss
24;0.04;training loss;loss
25;0.04;training loss;loss
26;0.04;training loss;loss
27;0.04;training loss;loss
28;0.04;training loss;loss
29;0.04;training loss;loss
30;0.04;training loss;loss
1;0.40;validation accuracy;accuracy
2;0.40;validation accuracy;accuracy
3;0.40;validation accuracy;accuracy
4;0.98;validation accuracy;accuracy
5;0.99;validation accuracy;accuracy
6;0.94;validation accuracy;accuracy
7;0.99;validation accuracy;accuracy
8;0.98;validation accuracy;accuracy
9;0.98;validation accuracy;accuracy
10;0.98;validation accuracy;accuracy
11;0.99;validation accuracy;accuracy
12;0.98;validation accuracy;accuracy
13;0.99;validation accuracy;accuracy
14;0.99;validation accuracy;accuracy
15;0.99;validation accuracy;accuracy
16;0.95;validation accuracy;accuracy
17;0.99;validation accuracy;accuracy
18;0.94;validation accuracy;accuracy
19;0.98;validation accuracy;accuracy
20;0.99;validation accuracy;accuracy
21;0.99;validation accuracy;accuracy
22;0.98;validation accuracy;accuracy
23;0.99;validation accuracy;accuracy
24;0.98;validation accuracy;accuracy
25;0.98;validation accuracy;accuracy
26;0.99;validation accuracy;accuracy
27;0.99;validation accuracy;accuracy
28;0.99;validation accuracy;accuracy
29;0.99;validation accuracy;accuracy
30;0.99;validation accuracy;accuracy
1;1.47;validation loss;loss
2;2.54;validation loss;loss
3;1.61;validation loss;loss
4;0.05;validation loss;loss
5;0.04;validation loss;loss
6;0.15;validation loss;loss
7;0.04;validation loss;loss
8;0.05;validation loss;loss
9;0.05;validation loss;loss
10;0.06;validation loss;loss
11;0.04;validation loss;loss
12;0.04;validation loss;loss
13;0.04;validation loss;loss
14;0.04;validation loss;loss
15;0.03;validation loss;loss
16;0.21;validation loss;loss
17;0.04;validation loss;loss
18;0.13;validation loss;loss
19;0.05;validation loss;loss
20;0.04;validation loss;loss
21;0.04;validation loss;loss
22;0.06;validation loss;loss
23;0.04;validation loss;loss
24;0.05;validation loss;loss
25;0.04;validation loss;loss
26;0.04;validation loss;loss
27;0.04;validation loss;loss
28;0.03;validation loss;loss
29;0.03;validation loss;loss
30;0.03;validation loss;loss
